sim1.o
R = 999.044664,          tprop = 0.500158
R = 998.894972,          tprop = 0.500156
R = 1002.581648,         tprop = 0.500244
R = 1000.443947,         tprop = 0.500176
R = 999.319214,          tprop = 0.500131
R = 999.082093,          tprop = 0.500119
R = 999.881264,          tprop = 0.500164
R = 997.898177,          tprop = 0.500037
R = 998.926154,          tprop = 0.500111
R = 1003.392722,         tprop = 0.500468
R = 995.099137,          tprop = 0.499737
R = 1004.324874,         tprop = 0.500623
R = 1004.205109,         tprop = 0.500610
R = 996.642560,          tprop = 0.499764
R = 998.595725,          tprop = 0.500000
R = 999.793793,          tprop = 0.500153
R = 1000.875766,         tprop = 0.500300
R = 1000.838202,         tprop = 0.500295
R = 997.848389,          tprop = 0.499840
R average = 999.878337,          tprop average = 0.500162

sim2.o
R = 996.003536,          tprop = 2.000124
R = 1001.941261,         tprop = 2.000219
R = 998.147189,          tprop = 2.000128
R = 998.870028,          tprop = 2.000151
R = 1001.195177,         tprop = 2.000244
R = 996.779157,          tprop = 2.000032
R = 1002.186018,         tprop = 2.000335
R = 1000.043752,         tprop = 2.000198
R = 1002.022834,         tprop = 2.000340
R = 999.700090,          tprop = 2.000155
R = 1001.082420,         tprop = 2.000277
R = 1001.088684,         tprop = 2.000277
R = 1000.531532,         tprop = 2.000219
R = 1000.181283,         tprop = 2.000180
R = 997.046250,          tprop = 1.999803
R = 997.699057,          tprop = 1.999887
R = 1004.091674,         tprop = 2.000755
R = 998.047569,          tprop = 1.999886
R = 995.216740,          tprop = 1.999453
R average = 999.572329,          tprop average = 2.000140

sim3.o

R = 100.040579,          tprop = 0.100174
R = 99.996438,           tprop = 0.100104
R = 99.977130,           tprop = 0.100058
R = 99.999563,           tprop = 0.100129
R = 99.935979,           tprop = 0.099875
R = 100.002813,          tprop = 0.100196
R = 100.014002,          tprop = 0.100258
R = 99.987939,           tprop = 0.100092
R = 100.017441,          tprop = 0.100304
R = 99.943657,           tprop = 0.099714
R = 99.989001,           tprop = 0.100113
R = 100.029321,          tprop = 0.100500
R = 100.036889,          tprop = 0.100579
R = 99.982128,           tprop = 0.099965
R = 100.003000,          tprop = 0.100216
R = 100.009501,          tprop = 0.100299
R = 99.962077,           tprop = 0.099654
R = 99.989189,           tprop = 0.100044
R = 100.018003,          tprop = 0.100482
R average = 99.996560,   tprop average = 0.100145
